theta0,theta1
10793.1,-0.0415175
10793.3,-0.0415193
10793.5,-0.0415211
10793.7,-0.0415229
10793.9,-0.0415247
10794.1,-0.0415264
10794.3,-0.0415282
10794.5,-0.0415299
10794.7,-0.0415316
10794.9,-0.0415334
10795.1,-0.0415351
10795.3,-0.0415368
10795.5,-0.0415385
10795.7,-0.0415402
10795.9,-0.0415419
10796.1,-0.0415435
10796.3,-0.0415452
10796.5,-0.0415469
10796.6,-0.0415485
10796.8,-0.0415501
10797,-0.0415518
10797.2,-0.0415534
10797.4,-0.041555
10797.6,-0.0415566
10797.8,-0.0415582
10797.9,-0.0415598
10798.1,-0.0415614
10798.3,-0.041563
10798.5,-0.0415645
10798.7,-0.0415661
10798.8,-0.0415676
10799,-0.0415692
10799.2,-0.0415707
10799.4,-0.0415722
10799.5,-0.0415737
10799.7,-0.0415753
10799.9,-0.0415768
10800,-0.0415783
10800.2,-0.0415797
10800.4,-0.0415812
10800.5,-0.0415827
10800.7,-0.0415842
10800.9,-0.0415856
10801,-0.0415871
10801.2,-0.0415885
10801.4,-0.0415899
10801.5,-0.0415914
10801.7,-0.0415928
10801.9,-0.0415942
10802,-0.0415956
10802.2,-0.041597
10802.3,-0.0415984
10802.5,-0.0415998
10802.7,-0.0416011
10802.8,-0.0416025
10803,-0.0416039
10803.1,-0.0416052
10803.3,-0.0416066
10803.4,-0.0416079
10803.6,-0.0416093
10803.7,-0.0416106
10803.9,-0.0416119
10804,-0.0416132
10804.2,-0.0416145
10804.3,-0.0416158
10804.5,-0.0416171
10804.6,-0.0416184
10804.8,-0.0416197
10804.9,-0.041621
10805.1,-0.0416222
10805.2,-0.0416235
10805.4,-0.0416248
10805.5,-0.041626
10805.6,-0.0416272
10805.8,-0.0416285
10805.9,-0.0416297
10806.1,-0.0416309
10806.2,-0.0416321
10806.3,-0.0416334
10806.5,-0.0416346
10806.6,-0.0416358
10806.7,-0.041637
10806.9,-0.0416381
10807,-0.0416393
10807.1,-0.0416405
10807.3,-0.0416417
10807.4,-0.0416428
10807.5,-0.041644
10807.7,-0.0416451
10807.8,-0.0416463
10807.9,-0.0416474
10808.1,-0.0416485
10808.2,-0.0416497
10808.3,-0.0416508
10808.5,-0.0416519
10808.6,-0.041653
10808.7,-0.0416541
10808.8,-0.0416552
10809,-0.0416563
10809.1,-0.0416574
10809.2,-0.0416585
10809.3,-0.0416595
10809.4,-0.0416606
10809.6,-0.0416617
10809.7,-0.0416627
10809.8,-0.0416638
10809.9,-0.0416648
10810,-0.0416659
10810.2,-0.0416669
10810.3,-0.041668
10810.4,-0.041669
10810.5,-0.04167
